name,domain,website_url,careers_url,sequoia_jobs_url,sequoia_portfolio_url,linkedin_url,twitter_url,github_url,facebook_url,instagram_url,youtube_url,all_social_links,ats_platform,total_jobs,num_remote_jobs,logo_url,linkedin_logo_url,industries,markets,office_locations,stages,staff_count,email_domains,investors,founded,crunchbase_url,org_type,description,slug,id
Probably Genetic,probablygenetic.com,https://probablygenetic.com,https://jobs.sequoiacap.com/companies/probably-genetic,https://jobs.sequoiacap.com/companies/probably-genetic,https://www.sequoiacap.com/companies/probably-genetic/,https://www.linkedin.com/company/probablygenetic,https://twitter.com/probgenetic,,,instagram.com/probablygenetic,,https://www.linkedin.com/company/probablygenetic | https://twitter.com/probgenetic | instagram.com/probablygenetic,,0,0,,,"Artificial Intelligence (AI), Biotechnology, Biotechnology Research, Genetics, Health Diagnostics, Medical",,"San Francisco, CA, USA, Karlsruhe, Germany","other, series_unknown",29,,,2018,https://crunchbase.com/organization/probably-genetic,private,"Probably Genetic is changing the lives of patients living with severe, complex diseases. Our technology discovers patients online, analyzes their disease state using AI and at-home testing, and connects patients to relevant resources. In doing so, we help patients access diagnoses, interventions, and resources as early as possible. Our data platform is used by drug developers and patient advocacy groups to develop and launch treatments for these patients.",probably-genetic,21108
Proclaim,proclaimhealth.com,https://proclaimhealth.com,https://jobs.sequoiacap.com/companies/proclaim-2,https://jobs.sequoiacap.com/companies/proclaim-2,https://www.sequoiacap.com/companies/proclaim-2/,https://www.linkedin.com/company/28413519,,,,instagram.com/proclaimhealthusa,,https://www.linkedin.com/company/28413519 | instagram.com/proclaimhealthusa,,0,0,,,"Dental, Fitness, Health Care, Medical Equipment Manufacturing, Wellness",,"Mountain View, CA, USA",series_b,54,,,2017,https://crunchbase.com/organization/fresh-301a,private,Proclaim is a developer of an oral care platform designed to prevent oral diseases.,proclaim-2,1104114
Pymetrics,pymetrics.com,https://pymetrics.com,https://jobs.sequoiacap.com/companies/pymetrics,https://jobs.sequoiacap.com/companies/pymetrics,https://www.sequoiacap.com/companies/pymetrics/,https://www.linkedin.com/company/pymet,https://twitter.com/pymetrics,,https://www.facebook.com/pymetrics,,,https://www.linkedin.com/company/pymet | https://twitter.com/pymetrics | https://www.facebook.com/pymetrics,,0,0,,,"Mobile Apps, Software, Web Apps, Web Development",,"Cluj-Napoca, Romania, New York, NY, USA, Canal Street, New York, NY, USA",other,18,,,2017,https://www.crunchbase.com/organization/pymet,private,"PyMET operates in the technology sector, offering software development services. The company specializes in Python, a high-level programming language, and Meteor, a full-stack JavaScript platform. PyMET's team of professionals uses these technologies to build web applications. The company's services include, but are not limited to, web development, mobile application development, and software testing. PyMET's solutions are designed to help businesses streamline their operations and improve efficiency.",pymetrics,9096
Q Bio,q.bio,https://q.bio,https://jobs.sequoiacap.com/companies/q-bio,https://jobs.sequoiacap.com/companies/q-bio,https://www.sequoiacap.com/companies/q-bio/,https://www.linkedin.com/company/10698228,https://twitter.com/qbioinc,,,instagram.com/qbio.inc,,https://www.linkedin.com/company/10698228 | https://twitter.com/qbioinc | instagram.com/qbio.inc,,0,0,,,"Biotechnology, Health Care, Information Technology, Medical",,"San Carlos, CA, USA, Redwood City, CA, USA, South San Francisco, CA, USA, North America",series_unknown,31,,,2015,https://crunchbase.com/organization/q-4,private,"Q Bio was founded in 2015 by Jeffrey Kaditz, serial entrepreneur and Founder of Affirm, Dr. Michael Snyder, Chair of Genetics and Director of Personalized Medicine at Stanford University, and Dr. Garry Choy, physician, radiologist, and former Chief Medical Information Officer at Mass General Hospital. Q Bio is fortunate to be backed by some of the best venture groups in the world including A16Z, Khosla Ventures, Founders Fund, SciFi VC, and Kevin Durant. This interdisciplinary team based in San Carlos, CA, is comprised of pioneers in fields such as applied math, computational physics, electrical engineering, genetics, and radiology, hailing from a dizzying array of home countries and cultural backgrounds.",q-bio,14779
Quadrant Eye,quadranteye.com,https://quadranteye.com,https://jobs.sequoiacap.com/companies/quadrant-eye,https://jobs.sequoiacap.com/companies/quadrant-eye,https://www.sequoiacap.com/companies/quadrant-eye/,https://www.linkedin.com/company/42674820,https://twitter.com/quadranteye,,https://facebook.com/quadranteye,,,https://www.linkedin.com/company/42674820 | https://twitter.com/quadranteye | https://facebook.com/quadranteye,,0,0,,,"Health Care, Medical, Medical Device, Medical Equipment Manufacturing",,"San Francisco, CA, USA",seed,3,,,2020,https://crunchbase.com/organization/quadrant-eye,private,QE is breaking new ground in online eyecare.,quadrant-eye,35129
Quantopian,quantopian.com,https://quantopian.com,https://jobs.sequoiacap.com/companies/quantopian,https://jobs.sequoiacap.com/companies/quantopian,https://www.sequoiacap.com/companies/quantopian/,https://www.linkedin.com/company/2638038,https://twitter.com/quantopian,,https://facebook.com/quantopian,,,https://www.linkedin.com/company/2638038 | https://twitter.com/quantopian | https://facebook.com/quantopian,,0,0,,,"Financial Services, Fintech, Hedge Funds",,"West Street / River Street, Boston, MA, USA, Boston, MA, USA",series_c,81,,,2011,https://crunchbase.com/organization/quantopian,private,"Quantopian inspires talented people everywhere to write investment algorithms. Select authors may license their ALGORITHMS to us and get paid based on performance.  We provide capital, data, and infrastructure for quants to research, code, test, and trade algorithmic investing strategies. We have an engaged community of 195,000 quants who discuss concepts and practice, and learn from peers and experts. We provide capital for our community to trade with, both through a monthly contest and through an allocation process for high-quality algorithms.  For more information, visit https://www.quantopian.com. Follow us on Twitter @quantopian.",quantopian,4943
Quantum Formatics,quantumformatics.com,https://quantumformatics.com,https://jobs.sequoiacap.com/companies/quantum-formatics,https://jobs.sequoiacap.com/companies/quantum-formatics,https://www.sequoiacap.com/companies/quantum-formatics/,https://www.linkedin.com/company/quantum-formatics,,,,,,https://www.linkedin.com/company/quantum-formatics,,0,0,,,"Artificial Intelligence (AI), Energy, Industrial, Machine Learning",,"Cambridge, MA, USA",other,3,,,2025,https://www.crunchbase.com/organization/quantum-formatics,private,"Quantum Formatics focuses on engineering superconductors that balance performance with manufacturability, mechanical durability, and cost considerations. Its technology targets operation at intermediate temperatures to reduce reliance on complex cryogenic systems while maintaining strong magnetic field capabilities. The materials are intended for use in applications such as medical imaging, energy systems, power transmission, and advanced transportation infrastructure.",quantum-formatics,3617512
QuantumScape,quantumscape.com,https://quantumscape.com,https://jobs.sequoiacap.com/companies/quantumscape,https://jobs.sequoiacap.com/companies/quantumscape,https://www.sequoiacap.com/companies/quantumscape/,https://www.linkedin.com/company/1878695,https://twitter.com/quantumscapeco,,https://facebook.com/quantumscape,,,https://www.linkedin.com/company/1878695 | https://twitter.com/quantumscapeco | https://facebook.com/quantumscape,,0,0,,,"Automotive, Battery, Electric Vehicle, Energy, Energy Storage, Renewable Energy, Renewable Energy Equipment Manufacturing",,"Stokes, San Jose, CA, USA, San Jose, CA, USA",other,800,,,2010,https://crunchbase.com/organization/quantumscape,public,"QuantumScape develops solid-state lithium-metal batteries for electric vehicles and other energy storage applications.  The company works to revolutionize the battery industry by producing a solid-state battery that will provide a substantially higher level of battery storage than other batteries currently on the market. It manufactures lithium batteries aimed to accelerate the commercialization of solid-state batteries. The company's innovative approach could significantly impact the future of electric transportation and renewable energy integration.  Jagdeep Singh founded the company in San Jose, California, in 2010.",quantumscape,14780
Quartzy,quartzy.com,https://quartzy.com,https://jobs.sequoiacap.com/companies/quartzy,https://jobs.sequoiacap.com/companies/quartzy,https://www.sequoiacap.com/companies/quartzy/,https://www.linkedin.com/company/quartzy,https://twitter.com/quartzy,,,instagram.com/quartzyinc,,https://www.linkedin.com/company/quartzy | https://twitter.com/quartzy | instagram.com/quartzyinc,,0,0,,,"E-Commerce, Enterprise Software, Life Science, Procurement",,"Montville, NJ, USA, Hayward, CA, USA",other,70,,,2011,https://crunchbase.com/organization/quartzy,private,"Quartzy provides the only complete solution for lab management that includes the world’s most comprehensive catalog of more than 3M lab supplies and deals backed by 1,000's of top suppliers. Trusted by 200,000 scientists across 13,000 labs nationwide, Quartzy streamlines inventory and purchasing communications to save labs time and money.",quartzy,5032
Quell,playquell.com,https://playquell.com,https://jobs.sequoiacap.com/companies/quell,https://jobs.sequoiacap.com/companies/quell,https://www.sequoiacap.com/companies/quell/,https://www.linkedin.com/company/9752980,https://twitter.com/playquell,,https://facebook.com/playquell,,,https://www.linkedin.com/company/9752980 | https://twitter.com/playquell | https://facebook.com/playquell,,0,0,,,"Computer Games, Fitness, Gaming, Information Technology, Virtual World",,"Mile End, London, UK, San Francisco, CA, USA, Kingston Vale, London SW15, UK, London, UK",series_a,29,,,2020,https://crunchbase.com/organization/quell-1ffb,private,Quell delivers a virtual fitness world that offers a unique experience of intense workouts while gaming to achieve fitness goals. The startup uses resistance bands to help players get fit while fighting their way through a virtual fitness world. It coins itself as a “Peloton meets gaming” and charges a monthly fee to keep content fresh.,quell,31414
